date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
2018-05-31,272.16,272.49,270.25,270.94,630688.68,271.294,272828,270.6685,276.4006,264.9364,265.6696,52.6663,270.36,271.3,270.0,383.9,123.1,625.5,1495.0
2018-06-01,272.4,273.94,272.33,273.6,477909.24,273.2585,202628,271.2175,275.7358,266.6992,265.7817,58.1241,273.44,274.25,270.0,383.9,122.49,585.5,1425.0
2018-06-04,274.52,275.19,274.26,274.9,340840.22,274.8025,143756,271.6615,275.7768,267.5462,265.8728,60.52,274.25,277.48,270.0,383.9,122.37,549.5,1388.0
2018-06-05,275.04,275.53,274.18,275.1,360596.16,274.9945,147692,272.0705,275.8301,268.3109,265.9692,60.8908,274.25,277.48,275.0,383.9,122.85,540.0,1376.0
2018-06-06,275.81,277.52,275.09,277.4,426901.27,276.3735,187293,272.5945,276.2567,268.9323,266.1089,64.9652,274.25,277.48,275.0,383.9,122.92,508.5,1350.0
2018-06-07,277.95,278.28,276.34,277.37,520013.46,277.291,225646,272.988,276.9172,269.0588,266.2742,64.8703,274.25,277.48,275.0,383.9,122.86,519.5,1382.0
2018-06-08,276.85,278.25,276.66,278.19,437145.22,277.5545,176878,273.2965,277.8001,268.7929,266.4193,66.319,277.48,279.16,275.0,383.9,123.01,514.5,1383.0
2018-06-11,278.44,279.37,278.31,278.56,364884.51,278.8685,157114,273.582,278.6275,268.5365,266.5415,66.9807,277.48,279.16,275.0,383.9,123.23,502.5,1373.0
2018-06-12,279.03,279.33,278.19,278.92,460668.07,278.8415,159824,273.879,279.4225,268.3355,266.6969,67.6467,277.48,279.16,275.0,383.9,122.82,501.5,1352.0
2018-06-13,279.17,279.48,277.8,278.03,506345.2,278.7745,208997,274.2255,279.8958,268.5552,266.8511,64.1992,277.48,279.16,275.0,383.9,123.19,510.5,1354.0
2018-06-14,279.01,279.33,278.05,278.73,447774.01,278.7235,183370,274.55,280.4661,268.6339,266.9923,65.6806,277.48,279.16,275.0,383.9,123.38,487.5,1312.0
2018-06-15,276.6,277.51,275.35,277.13,594944.69,276.5785,243084,274.806,280.7034,268.9086,267.15,59.6088,274.25,277.48,275.0,383.9,121.34,492.5,1325.0
2018-06-18,275.49,276.7,274.95,276.56,372403.49,276.0535,166963,275.0675,280.7863,269.3487,267.2407,57.5671,274.25,277.48,275.0,383.9,121.11,483.0,1328.0
2018-06-19,274.0,275.75,273.53,275.5,601685.77,274.7135,266416,275.174,280.8415,269.5065,267.3674,53.8717,274.25,277.48,275.0,383.9,120.8,517.0,1340.0
2018-06-20,276.27,276.72,275.59,275.97,350089.97,276.1645,159877,275.342,280.8935,269.7905,267.4435,55.2436,274.25,277.48,275.0,383.9,120.26,500.5,1307.0
2018-06-21,275.96,275.98,273.68,274.24,527420.4,274.5995,231864,275.386,280.8877,269.8843,267.5328,49.4176,273.44,274.25,270.0,383.9,120.05,549.0,1342.0
2018-06-22,275.66,275.79,274.49,274.74,386994.31,275.212,174888,275.483,280.8661,270.0999,267.6017,51.0252,274.25,277.48,270.0,383.9,120.34,527.0,1355.0
