,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
182,2021-10-14 09:32:00,441.87,441.89,441.79,441.85,566,441.838,423,441.918,442.068,441.768,440.4275,49.2575,441.81,441.9,436.12,443.22,167.99,18.61,7.99
183,2021-10-14 09:33:00,441.83,441.84,441.76,441.82,618,441.798,447,441.911,442.0655,441.7565,440.4311,46.9892,441.81,441.9,436.12,443.22,168.01,18.64,7.99
184,2021-10-14 09:34:00,441.83,441.89,441.8,441.89,553,441.839,314,441.9045,442.0509,441.7581,440.4345,52.4872,441.81,441.9,436.12,443.22,168.02,18.63,7.99
185,2021-10-14 09:35:00,441.9,441.96,441.87,441.94,624,441.919,249,441.901,442.0403,441.7617,440.4384,55.9977,441.93,441.98,436.12,443.22,167.97,18.64,7.98
186,2021-10-14 09:36:00,441.93,441.96,441.88,441.95,454,441.922,236,441.898,442.0302,441.7658,440.4412,56.6869,441.93,441.98,436.12,443.22,167.95,18.63,7.99
187,2021-10-14 09:37:00,441.94,442.03,441.94,441.98,437,441.992,272,441.897,442.0263,441.7677,440.444,58.7734,441.98,442.02,436.12,443.22,167.95,18.64,7.98
188,2021-10-14 09:38:00,441.98,442.03,441.97,442.03,381,441.993,274,441.905,442.0459,441.7641,440.4465,62.0541,442.02,442.06,436.12,443.22,167.97,18.64,7.98
189,2021-10-14 09:39:00,442.03,442.03,441.96,442.0,1030,441.999,389,441.911,442.0573,441.7647,440.453,59.0193,441.98,442.02,436.12,443.22,167.94,18.66,7.97
190,2021-10-14 09:40:00,442.01,442.01,441.9,441.96,282,441.956,214,441.915,442.062,441.768,440.4548,55.1467,441.93,441.98,436.12,443.22,167.95,18.66,7.98
191,2021-10-14 09:41:00,441.96,441.99,441.9,441.9,293,441.947,208,441.9205,442.0562,441.7848,440.4565,49.8617,441.9,441.93,436.12,443.22,167.93,18.65,7.97
192,2021-10-14 09:42:00,441.91,441.98,441.88,441.9,456,441.929,306,441.9255,442.05,441.801,440.4592,49.8617,441.9,441.93,436.12,443.22,167.94,18.64,7.98
193,2021-10-14 09:43:00,441.9,441.98,441.9,441.95,527,441.937,299,441.9315,442.0483,441.8147,440.4624,54.112,441.93,441.98,436.12,443.22,167.99,18.6,7.97
194,2021-10-14 09:44:00,441.96,442.0,441.95,441.96,442,441.972,288,441.936,442.0499,441.8221,440.4651,54.9348,441.93,441.98,436.12,443.22,167.97,18.61,7.98
195,2021-10-14 09:45:00,441.96,441.97,441.88,441.94,321,441.923,236,441.9335,442.0447,441.8223,440.467,52.892,441.93,441.98,436.12,443.22,168.02,18.59,7.98
196,2021-10-14 09:46:00,441.95,441.96,441.9,441.92,433,441.938,281,441.928,442.0301,441.8259,440.4696,50.8555,441.9,441.93,436.12,443.22,167.98,18.59,7.98
197,2021-10-14 09:47:00,441.92,441.96,441.88,441.9,430,441.91,219,441.924,442.0239,441.8241,440.4721,48.8308,441.9,441.93,436.12,443.22,167.97,18.59,7.98
198,2021-10-14 09:48:00,441.91,442.02,441.9,442.02,472,441.951,232,441.93,442.0375,441.8225,440.475,59.301,442.02,442.02,436.12,443.22,167.99,18.57,7.96
199,2021-10-14 09:49:00,442.0,442.05,441.97,442.02,786,442.017,423,441.9365,442.0492,441.8238,440.4799,59.301,442.02,442.02,436.12,443.22,167.96,18.56,7.97
200,2021-10-14 09:50:00,442.02,442.04,441.96,442.03,786,442.009,472,441.941,442.0608,441.8212,440.4848,60.0902,442.02,442.06,436.12,443.22,167.98,18.59,7.97
201,2021-10-14 09:51:00,442.03,442.04,441.93,441.97,475,441.966,314,441.9465,442.0609,441.8321,440.4877,53.3991,441.93,441.98,436.12,443.22,167.97,18.58,7.97
202,2021-10-14 09:52:00,441.98,441.98,441.9,441.94,434,441.94,336,441.951,442.0566,441.8454,440.4902,50.3785,441.93,441.98,436.12,443.22,167.96,18.62,7.98
203,2021-10-14 09:53:00,441.95,441.97,441.91,441.92,1332,441.937,554,441.956,442.0444,441.8676,440.4978,48.4124,441.9,441.93,436.12,443.22,167.92,18.63,7.98
204,2021-10-14 09:54:00,441.92,442.0,441.92,442.0,469,441.964,230,441.9615,442.0464,441.8766,440.5006,55.8369,441.98,442.02,436.12,443.22,167.94,18.6,7.97
205,2021-10-14 09:55:00,441.99,441.99,441.89,441.9,899,441.934,526,441.9595,442.0482,441.8708,440.5056,46.7748,441.9,441.93,436.12,443.22,167.97,18.61,7.98
206,2021-10-14 09:56:00,441.9,441.96,441.89,441.94,468,441.923,265,441.959,442.048,441.87,440.5082,50.2527,441.93,441.98,436.12,443.22,167.98,18.62,7.98
207,2021-10-14 09:57:00,441.94,441.99,441.86,441.9,1495,441.946,645,441.955,442.047,441.863,440.5164,46.9489,441.9,441.93,436.12,443.22,167.99,18.62,7.98
208,2021-10-14 09:58:00,441.9,442.0,441.89,442.0,376,441.927,239,441.9535,442.0414,441.8656,440.5186,54.927,441.98,442.02,436.12,443.22,167.98,18.62,7.98
209,2021-10-14 09:59:00,442.01,442.12,441.98,442.1,890,442.06,509,441.9585,442.0657,441.8513,440.5241,61.2092,442.06,442.11,436.12,443.22,167.98,18.61,7.97
210,2021-10-14 10:00:00,442.11,442.19,442.1,442.14,796,442.133,511,441.9675,442.1007,441.8343,440.5291,63.4064,442.11,442.15,436.12,443.22,167.97,18.58,7.97
211,2021-10-14 10:01:00,442.14,442.19,442.13,442.19,324,442.155,230,441.982,442.1429,441.8211,440.5312,65.9988,442.15,442.2,436.12,443.22,167.96,18.58,7.97
212,2021-10-14 10:02:00,442.19,442.25,441.97,441.99,1999,442.124,1315,441.9865,442.143,441.83,440.5425,50.567,441.98,442.02,436.12,443.22,167.95,18.57,7.97
213,2021-10-14 10:03:00,441.99,442.03,441.82,441.84,874,441.922,574,441.981,442.1495,441.8125,440.5469,42.5342,441.81,441.9,436.12,443.22,167.94,18.54,7.98
214,2021-10-14 10:04:00,441.84,441.86,441.65,441.66,1015,441.737,695,441.966,442.1851,441.7469,440.5512,35.2897,441.65,441.7,436.12,443.22,167.95,18.58,7.99
215,2021-10-14 10:05:00,441.66,441.67,441.59,441.65,1758,441.622,930,441.9515,442.2104,441.6926,440.5586,34.9337,441.65,441.7,436.12,443.22,167.93,18.57,8.0
216,2021-10-14 10:06:00,441.65,441.77,441.65,441.74,674,441.715,336,441.9425,442.2172,441.6678,440.5616,40.7287,441.7,441.76,436.12,443.22,167.95,18.55,7.99
217,2021-10-14 10:07:00,441.74,441.8,441.7,441.79,465,441.763,330,441.937,442.2191,441.6549,440.5638,43.7272,441.76,441.8,436.12,443.22,167.95,18.57,8.0
218,2021-10-14 10:08:00,441.78,441.78,441.63,441.67,783,441.697,537,441.9195,442.2216,441.6174,440.5671,38.6708,441.65,441.7,436.12,443.22,167.95,18.57,8.0
