,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location,BASIC_COLOUR,BODY_TYPE,CC_RATING,MAKE,ORIGINAL_COUNTRY,VEHICLE_TYPE,VEHICLE_YEAR
113,SILVER,TRAILER,TANK,2018,TRAILER,29/03/2022,CANTERBURY,WHITE,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1985
114,RED,MASSEY,FERGUSSON,2007,TRACTOR,23/01/2022,WAIKATO,RED,TRACTOR,1827,MASSEY,UNITED KINGDOM,TRACTOR,1965
115,SILVER,TRAILER,BST85,2022,TRAILER,15/03/2022,WELLINGTON,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
116,BLACK,SUZUKI,LS650P,2003,ROADBIKE,3/12/2021,NORTHLAND,YELLOW,MOTORCYCLE,650,SUZUKI,JAPAN,MOTORCYCLE,1988
117,BLACK,TROJAN,JET SKI,2022,BOAT TRAILER,19/03/2022,WAITEMATA,WHITE,BOAT TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1989
118,SILVER,TRAILER,VULCAN,2022,TRAILER,4/03/2022,COUNTIES/MANUKAU,CREAM,CARAVAN,0,CARAVAN,NOT KNOWN,TRAILER/CARAVAN,1978
119,GREY,HOMEBUILT,EZ LOADER STABI CRAF,1989,BOAT TRAILER,12/10/2021,CANTERBURY,GREY,BOAT TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1989
120,SILVER,TRAILER,MCLAY,2017,BOAT TRAILER,19/03/2022,EASTERN,SILVER,BOAT TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1987
121,SILVER,TRAILER,ENSOL TANKER,2019,TRAILER,28/02/2022,CENTRAL,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
122,RED,KAWASAKI,EX,2008,ROADBIKE,2/04/2022,COUNTIES/MANUKAU,RED,MOTORCYCLE,248,KAWASAKI,JAPAN,MOTORCYCLE,1996
123,RED,MOPED,HYOSUNG SB49M,2008,MOPED,29/01/2022,COUNTIES/MANUKAU,RED,MOTORCYCLE,49,MOPED,SOUTH KOREA,MOPED,2008
124,GREY,TRAILER,BRIFORD,1996,TRAILER,13/03/2022,CANTERBURY,GREEN,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1984
125,SILVER,TRAILER,REID,2000,BOAT TRAILER,3/02/2022,AUCKLAND CITY,GREY,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1974
126,WHITE,HOMEBUILT,15X7,1994,BOAT TRAILER,1/01/2022,CANTERBURY,WHITE,BOAT TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1994
127,GREY,TRAILER,KEA,1998,TRAILER,16/11/2021,TASMAN,SILVER,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1987
128,GREY,TRAILER,ROADCHIEF,2019,TRAILER,20/01/2022,NORTHLAND,GREY,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2010
129,ORANGE,KTM,EXC,2002,ROADBIKE,13/02/2022,NORTHLAND,ORANGE,MOTORCYCLE,400,KTM,AUSTRIA,MOTORCYCLE,2000
130,SILVER,TRAILER,JOBMATE,2019,TRAILER,13/03/2022,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2017
131,SILVER,TRAILER,ENSOL TANKER,2022,TRAILER,1/04/2022,CENTRAL,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
132,SILVER,TRAILER,BRAKED TANDEM,2019,TRAILER,17/12/2021,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,PINTO,NEW ZEALAND,TRAILER/CARAVAN,2010
133,GREY,TRAILER,HARENG,1980,TRAILER,31/12/2021,WAIKATO,GREY,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1980
134,SILVER,TRAILER,HOMEBUILT,2019,TRAILER,13/03/2022,SOUTHERN,RED,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1981
135,SILVER,TITAN,DOMESTIC TRAILER,2019,TRAILER,29/10/2021,WAITEMATA,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1986
136,GREEN,TRAILER,HOMEMADE,1962,TRAILER,16/02/2022,CANTERBURY,GREEN,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1993
137,WHITE,TRAILER,SPACEE 2000,1997,TRAILER,16/11/2021,CENTRAL,WHITE,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1997
138,SILVER,BRIFORD,8X4 TANDEM TIPPER,2018,TRAILER,18/03/2022,CANTERBURY,SILVER,DOMESTIC TRAILER,0,BRIFORD,NEW ZEALAND,TRAILER/CARAVAN,1999
139,SILVER,FACTORY BUILT,BRENT SMITH TRAILERS,2019,TRAILER,30/12/2021,WELLINGTON,SILVER,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1990
140,SILVER,TRAILER,TASMAN8X5TB,2019,TRAILER,10/10/2021,TASMAN,SILVER,DOMESTIC TRAILER,0,TRAILER,CHINA,TRAILER/CARAVAN,2019
141,SILVER,TRAILER,MAKZ,2019,BOAT TRAILER,14/12/2021,WELLINGTON,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2015
142,SILVER,PINTO,ENCLOSED TRAILER,2019,TRAILER,19/10/2021,WAITEMATA,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1989
143,SILVER,TRAILER,ELITE 8X4,2019,TRAILER,28/02/2022,CANTERBURY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2009
144,SILVER,TRAILER,TRANSPORTER,2019,TRAILER - HEAVY,27/12/2021,EASTERN,WHITE,SELF PROPELLED CARAVAN,1700,VOLKSWAGEN,GERMANY,MOTOR CARAVAN,1978
145,GREY,TRAILER,DOMESTIC,2019,TRAILER,9/03/2022,WAITEMATA,GREY,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1982
146,SILVER,FACTORY BUILT,DOMESTIC TRAILER,2015,TRAILER,21/03/2022,NORTHLAND,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1986
147,SILVER,BRIFORD,TRAILER 8X4,2015,TRAILER - HEAVY,8/12/2021,AUCKLAND CITY,GREY,DOMESTIC TRAILER,0,BRIFORD,NEW ZEALAND,TRAILER/CARAVAN,2000
148,WHITE,CARAVAN,XPLORE 452,2008,CARAVAN,26/12/2021,BAY OF PLENTY,WHITE,CARAVAN,0,CARAVAN,OTHER,TRAILER/CARAVAN,2008
149,SILVER,PINTO,BRAKED TANDEM,2015,TRAILER,18/02/2022,WAIKATO,SILVER,DOMESTIC TRAILER,0,PINTO,NEW ZEALAND,TRAILER/CARAVAN,2010
150,SILVER,TRAILER,HOBBS,2015,TRAILER,12/11/2021,EASTERN,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2000
151,SILVER,TRAILER,WILPRO,2015,TRAILER,22/11/2021,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2007
152,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,24/01/2022,COUNTIES/MANUKAU,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
153,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,8/03/2022,AUCKLAND CITY,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
154,SILVER,BRIFORD,OTHER COMMERCIAL TRA,2015,TRAILER - HEAVY,6/01/2022,CANTERBURY,BROWN,OTHER COMMERCIAL TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1987
155,SILVER,TRAILER,SINGLE AXLE 7X4,2015,TRAILER,19/02/2022,CANTERBURY,WHITE,DOMESTIC TRAILER,0,FACTORY BUILT,NEW ZEALAND,TRAILER/CARAVAN,2000
156,WHITE,SPRITE,ALPINE  4T2A,2007,CARAVAN,29/01/2022,WELLINGTON,WHITE,CARAVAN,0,SPRITE,UNITED KINGDOM,TRAILER/CARAVAN,2007
