date,open,high,low,close,volume,average,barCount,GLD,UVXY,SQQQ,CVX,RIO,NUE,LWAY,TSN,NTR,ADM,HYG,SRLN,JNK,EWH,GBTC,USO,DIA,QQQ,IWM,IEF,SIVR,FXB,FXE,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres
2019-05-28,283.09,284.15,280.15,280.15,518418.59,282.061,253399,120.83,378.2,1048.0,118.31,60.63,51.01,2.28,80.31,47.86,38.58,85.57,46.43,107.02,25.15,11.44,97.84,253.47,177.49,149.59,107.84,13.95,122.74,106.35,286.905,295.0475,278.7625,273.8862,38.0467,279.16,280.4,279.16,280.4
2019-05-29,278.91,279.36,276.71,278.27,789139.57,278.068,348784,120.87,388.1,1073.5,116.77,59.39,50.76,2.45,76.28,48.56,38.54,85.34,46.35,106.72,25.27,11.63,97.92,251.27,176.03,148.34,107.8,14.03,122.43,106.05,286.1175,294.4005,277.8345,273.9081,35.3667,277.48,279.16,277.48,279.16
2019-05-30,279.11,280.04,277.8,279.03,455078.77,278.9515,204858,121.69,378.1,1060.25,115.38,58.93,49.28,2.3,76.74,48.97,38.46,85.52,46.32,106.92,24.86,11.63,94.08,251.87,176.77,147.93,108.19,14.11,122.32,106.06,285.4785,293.8773,277.0797,273.9227,37.2898,277.48,279.16,277.48,279.16
2019-05-31,276.2,277.12,275.24,275.27,619765.16,275.958,286891,123.33,401.4,1111.0,113.85,57.93,48.0,2.13,75.89,48.74,38.32,84.9,46.16,106.15,24.66,11.06,88.8,248.22,173.95,145.86,108.91,14.15,122.6,106.44,284.683,293.7577,275.6083,273.928,32.1872,273.44,277.48,273.44,277.48
2019-06-03,275.31,276.56,273.09,274.57,780592.76,274.728,355009,125.11,405.6,1182.25,115.99,58.76,49.78,2.23,78.06,49.76,38.98,84.65,45.95,105.76,24.6,10.77,87.92,248.5,170.12,146.37,109.22,14.38,122.86,107.12,283.71,292.7402,274.6798,273.9311,31.3277,273.44,277.48,273.44,277.48
2019-06-04,277.12,280.68,276.62,280.53,593301.46,278.817,273545,125.15,373.8,1087.0,117.3,59.25,50.15,2.29,79.33,51.29,39.63,85.5,46.06,106.72,24.77,9.12,89.28,253.65,174.91,150.16,108.82,14.42,123.26,107.21,283.0955,291.1861,275.0049,273.9555,44.8343,280.4,281.15,280.4,281.15
2019-06-05,282.33,282.99,280.32,282.96,540945.5,281.897,238258,125.47,361.3,1062.25,117.65,58.04,50.59,2.39,80.61,51.37,39.27,85.7,45.99,106.99,24.77,9.82,86.16,255.73,176.21,150.19,108.82,14.38,123.05,106.92,282.847,290.6278,275.0662,273.9856,49.2196,282.39,283.47,282.39,283.47
2019-06-06,283.29,285.55,282.57,284.8,481970.13,284.0055,216874,125.88,350.9,1037.5,120.68,57.99,50.42,2.1,81.8,51.8,39.71,85.88,46.03,107.26,24.9,9.25,88.48,257.72,177.61,149.8,108.8,14.45,123.09,107.37,282.7105,290.2499,275.1711,274.0178,52.311,284.37,284.82,284.37,284.82
2019-06-07,285.93,288.85,285.74,287.65,541009.85,287.7595,239563,126.59,354.3,978.5,121.48,58.11,50.84,2.4,82.45,51.65,39.58,86.1,46.11,107.61,25.06,10.36,89.84,260.25,181.04,150.86,109.23,14.585,123.505,107.91,282.76,290.4146,275.1054,274.0632,56.7072,287.3,288.66,287.3,288.66
2019-06-10,289.36,290.82,288.87,288.97,463466.28,289.728,208447,125.33,349.8,944.25,122.29,58.67,50.94,2.7,82.49,51.88,40.06,86.23,46.11,107.75,25.48,10.25,88.88,260.99,183.15,151.75,108.685,14.28,123.1,107.79,282.8035,290.5878,275.0192,274.1057,58.6104,288.66,289.21,288.66,289.21
2019-06-11,290.99,291.4,288.18,288.9,424660.96,289.4585,197101,125.18,350.6,939.5,121.17,60.27,51.74,2.47,82.31,52.46,40.17,86.35,46.16,107.92,25.61,9.8,88.88,260.88,183.4,151.3,108.685,14.33,123.37,107.86,283.2055,291.368,275.043,274.1441,58.4636,288.66,289.21,288.66,289.21
2019-06-12,288.64,289.26,287.81,288.39,340546.37,288.3895,143907,125.83,348.3,956.0,120.19,60.29,51.13,2.37,81.89,52.97,40.72,86.15,46.15,107.66,25.03,10.45,85.12,260.45,182.34,151.47,108.97,14.35,123.03,107.49,283.455,291.9253,274.9847,274.1738,57.337,287.3,288.66,287.3,288.66
2019-06-13,289.4,289.98,288.62,289.58,353096.54,289.2775,151974,126.6,345.6,939.75,120.91,61.57,52.14,2.32,82.53,53.05,41.01,86.35,46.2,107.88,25.1,10.75,87.04,261.56,183.42,153.07,109.24,14.46,122.93,107.35,283.681,292.5427,274.8193,274.207,59.3074,289.21,290.34,289.21,290.34
2019-06-14,289.26,289.93,288.41,289.26,347399.81,289.075,158592,126.56,340.8,953.0,120.81,60.77,51.7,2.53,81.91,53.27,40.79,86.29,46.18,107.79,24.88,10.8,87.52,261.51,182.64,151.73,109.32,14.44,122.01,106.69,283.759,292.7867,274.7313,274.2388,58.5246,289.21,290.34,289.21,290.34
2019-06-17,289.52,290.22,289.18,289.37,290861.68,289.7225,129137,126.48,335.0,935.0,121.39,60.66,50.75,2.61,78.53,53.43,40.74,86.16,46.14,107.64,24.65,12.0,86.48,261.68,183.74,152.24,109.3,14.42,121.57,106.77,283.9355,293.2524,274.6186,274.2655,58.7263,289.21,290.34,289.21,290.34
2019-06-18,291.39,293.57,290.99,292.4,608358.35,292.541,267858,127.12,331.1,895.5,122.93,62.18,52.62,2.76,77.18,54.18,41.2,86.76,46.15,108.31,25.32,11.46,90.0,265.33,186.41,154.01,109.51,14.56,121.81,106.56,284.358,294.379,274.337,274.3323,63.929,292.24,293.62,292.24,293.62
2019-06-19,292.55,293.65,291.47,293.06,534046.11,292.701,231884,127.89,313.6,884.75,122.89,59.9,54.25,2.89,77.76,54.22,40.71,87.17,46.18,108.86,25.66,11.46,90.64,265.56,187.11,154.56,109.81,14.69,122.68,106.9,284.6855,295.3724,273.9986,274.3926,64.9649,292.24,293.62,292.24,293.62
2019-06-20,296.04,296.31,293.12,295.86,624754.05,295.3855,259859,131.11,316.3,861.25,124.28,60.4,53.81,3.65,78.63,54.8,41.3,87.61,46.2,109.46,25.99,12.73,94.8,268.08,188.85,155.29,109.99,15.0,123.2,107.49,285.197,296.9426,273.4514,274.4732,69.0288,294.88,295.97,294.88,295.97
2019-06-21,294.14,295.52,293.76,294.0,485749.73,294.432,201785,131.98,326.5,864.25,124.93,60.27,53.94,3.79,79.29,54.76,41.08,87.33,46.17,109.19,25.8,13.55,95.76,267.1,188.57,153.95,109.54,14.88,123.59,108.26,285.79,298.0449,273.5351,274.5301,63.7396,293.94,294.24,293.94,294.24
